Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,75.6984882494976
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,50.0284206863703
Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,60.141986685415
Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,83.0969293777453
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,57.6401785782658
Bahrain,BHR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Bangladesh,BGD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Barbados,BRB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Belarus,BLR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,33.2442286168097
Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,103.382510764996
Belize,BLZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Benin,BEN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Bermuda,BMU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Bhutan,BTN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,90.3573579099114
Bolivia,BOL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,44.0235719186881
Botswana,BWA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,16.193904309718
Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,92.5652531882782
British Virgin Islands,VGB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Bulgaria,BGR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,26.9356388445987
Burkina Faso,BFA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,47.0623633767648
Burundi,BDI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Cabo Verde,CPV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Cambodia,KHM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Cameroon,CMR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,53.3623246913959
Cayman Islands,CYM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Central African Republic,CAF,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Chad,TCD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Channel Islands,CHI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Chile,CHL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
China,CHN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Colombia,COL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,72.7038785770822
Comoros,COM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
"Congo, Dem. Rep.",COD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
"Congo, Rep.",COG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Costa Rica,CRI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Cote d'Ivoire,CIV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Croatia,HRV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,81.6770589580836
Cuba,CUB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Curacao,CUW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Cyprus,CYP,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Czechia,CZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Denmark,DNK,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Djibouti,DJI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Dominica,DMA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Dominican Republic,DOM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Ecuador,ECU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
"Egypt, Arab Rep.",EGY,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
El Salvador,SLV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,53.8790393562178
Equatorial Guinea,GNQ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Eritrea,ERI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Estonia,EST,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,14.0530835439573
Eswatini,SWZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Ethiopia,ETH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,31.4488486740364
Faroe Islands,FRO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Fiji,FJI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Finland,FIN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
France,FRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,104.961161125435
French Polynesia,PYF,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Gabon,GAB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
"Gambia, The",GMB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Georgia,GEO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,45.1535059311799
Germany,DEU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Ghana,GHA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Gibraltar,GIB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Greece,GRC,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,212.362314259588
Greenland,GRL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Grenada,GRD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Guam,GUM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Guatemala,GTM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Guinea,GIN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Guinea-Bissau,GNB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Guyana,GUY,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Haiti,HTI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Honduras,HND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
"Hong Kong SAR, China",HKG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Hungary,HUN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,83.3671584163564
Iceland,ISL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,90.1141894663873
India,IND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Indonesia,IDN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,33.7291556226381
"Iran, Islamic Rep.",IRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Iraq,IRQ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Ireland,IRL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,69.6037207995459
Isle of Man,IMN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Israel,ISR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Italy,ITA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Jamaica,JAM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,92.2464484531468
