Country,CountryCode,Series,2019
Afghanistan,AFG,"Central government debt, total (% of GDP)",..
Albania,ALB,"Central government debt, total (% of GDP)",75.6984882494976
Algeria,DZA,"Central government debt, total (% of GDP)",..
American Samoa,ASM,"Central government debt, total (% of GDP)",..
Andorra,AND,"Central government debt, total (% of GDP)",..
Angola,AGO,"Central government debt, total (% of GDP)",..
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",..
Argentina,ARG,"Central government debt, total (% of GDP)",..
Armenia,ARM,"Central government debt, total (% of GDP)",50.0284206863703
Aruba,ABW,"Central government debt, total (% of GDP)",..
Australia,AUS,"Central government debt, total (% of GDP)",60.141986685415
Austria,AUT,"Central government debt, total (% of GDP)",83.0969293777453
Azerbaijan,AZE,"Central government debt, total (% of GDP)",..
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",57.6401785782658
Bahrain,BHR,"Central government debt, total (% of GDP)",..
Bangladesh,BGD,"Central government debt, total (% of GDP)",..
Barbados,BRB,"Central government debt, total (% of GDP)",..
Belarus,BLR,"Central government debt, total (% of GDP)",33.2442286168097
Belgium,BEL,"Central government debt, total (% of GDP)",103.382510764996
Belize,BLZ,"Central government debt, total (% of GDP)",..
Benin,BEN,"Central government debt, total (% of GDP)",..
Bermuda,BMU,"Central government debt, total (% of GDP)",..
Bhutan,BTN,"Central government debt, total (% of GDP)",90.3573579099114
Bolivia,BOL,"Central government debt, total (% of GDP)",..
Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",44.0235719186881
Botswana,BWA,"Central government debt, total (% of GDP)",16.193904309718
Brazil,BRA,"Central government debt, total (% of GDP)",92.5652531882782
British Virgin Islands,VGB,"Central government debt, total (% of GDP)",..
Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",..
Bulgaria,BGR,"Central government debt, total (% of GDP)",26.9356388445987
Burkina Faso,BFA,"Central government debt, total (% of GDP)",47.0623633767648
Burundi,BDI,"Central government debt, total (% of GDP)",..
Cabo Verde,CPV,"Central government debt, total (% of GDP)",..
Cambodia,KHM,"Central government debt, total (% of GDP)",..
