Country,CountryCode,Series,2019
Afghanistan,AFG,Urban population (% of total population),25.754
Albania,ALB,Urban population (% of total population),61.229
Algeria,DZA,Urban population (% of total population),73.189
American Samoa,ASM,Urban population (% of total population),87.147
Andorra,AND,Urban population (% of total population),87.984
Angola,AGO,Urban population (% of total population),66.177
Antigua and Barbuda,ATG,Urban population (% of total population),24.506
Argentina,ARG,Urban population (% of total population),91.991
Armenia,ARM,Urban population (% of total population),63.219
Aruba,ABW,Urban population (% of total population),43.546
Australia,AUS,Urban population (% of total population),86.124
Austria,AUT,Urban population (% of total population),58.515
Azerbaijan,AZE,Urban population (% of total population),56.031
"Bahamas, The",BHS,Urban population (% of total population),83.132
Bahrain,BHR,Urban population (% of total population),89.394
Bangladesh,BGD,Urban population (% of total population),37.405
Barbados,BRB,Urban population (% of total population),31.158
Belarus,BLR,Urban population (% of total population),79.044
Belgium,BEL,Urban population (% of total population),98.041
Belize,BLZ,Urban population (% of total population),45.866
Benin,BEN,Urban population (% of total population),47.861
Bermuda,BMU,Urban population (% of total population),100
Bhutan,BTN,Urban population (% of total population),41.612
Bolivia,BOL,Urban population (% of total population),69.773
Bosnia and Herzegovina,BIH,Urban population (% of total population),48.626
Botswana,BWA,Urban population (% of total population),70.172
Brazil,BRA,Urban population (% of total population),86.824
British Virgin Islands,VGB,Urban population (% of total population),48.116
Brunei Darussalam,BRN,Urban population (% of total population),77.942
Bulgaria,BGR,Urban population (% of total population),75.347
Burkina Faso,BFA,Urban population (% of total population),29.98
Burundi,BDI,Urban population (% of total population),13.366
Cabo Verde,CPV,Urban population (% of total population),66.195
Cambodia,KHM,Urban population (% of total population),23.805
Cameroon,CMR,Urban population (% of total population),56.968
Canada,CAN,Urban population (% of total population),81.482
Cayman Islands,CYM,Urban population (% of total population),100
Central African Republic,CAF,Urban population (% of total population),41.77
Chad,TCD,Urban population (% of total population),23.279
Channel Islands,CHI,Urban population (% of total population),30.931
Chile,CHL,Urban population (% of total population),87.643
China,CHN,Urban population (% of total population),60.308
Colombia,COL,Urban population (% of total population),81.104
Comoros,COM,Urban population (% of total population),29.164
"Congo, Dem. Rep.",COD,Urban population (% of total population),45.046
"Congo, Rep.",COG,Urban population (% of total population),67.373
Costa Rica,CRI,Urban population (% of total population),80.076
Cote d'Ivoire,CIV,Urban population (% of total population),51.239
Croatia,HRV,Urban population (% of total population),57.242
Cuba,CUB,Urban population (% of total population),77.109
Curacao,CUW,Urban population (% of total population),89.098
Cyprus,CYP,Urban population (% of total population),66.805
